prix,type_de_bien,details,zone
728000,Appartement à vendre - neuf,4 pièces · 104 m²,Ouest  Saint-Cyr-au-Mont-d'Or (69450)
332850,Appartement à vendre - neuf,3 pièces · 62 m²,Ouest  Dardilly (69570)
298000,Appartement à vendre - neuf,3 pièces · 63 m² · dès le 30/06/2026,Centre  Décines-Charpieu (69150)
415000,Appartement à vendre - neuf,4 pièces · 89 m²,Mercières – Bruyères  Caluire-et-Cuire (69300)
349900,Appartement à vendre - neuf,"4 pièces · 77,1 m² · RDC · dès le 01/07/2028",Revaison  Saint-Priest (69800)
579000,Appartement à vendre - neuf,"4 pièces · 3 chambres · 86,1 m² · 7ème étage",Monplaisir Lumière  Lyon 8ème arrondissement (69008)
315000,Maison à vendre,5 pièces · 4 chambres · 124 m²,Valserhône (01200)
441000,Appartement à vendre - neuf,"4 pièces · 85,5 m² · 1er étage · dès le 01/10/2028",Bourg  Genas (69740)
380000,Appartement à vendre,"4 pièces · 3 chambres · 88,4 m² · 4ème étage",Charpennes-Tonkin  Villeurbanne (69100)
177000,Appartement à vendre,"2 pièces · 1 chambre · 43,5 m² · RDC",Gratte Ciel  Villeurbanne (69100)
189000,Appartement à vendre - neuf,"2 pièces · 1 chambre · 40,5 m² · dès le 31/03/2028",Centre Ville  Saint-Priest (69800)
480000,Appartement à vendre - neuf,"4 pièces · 3 chambres · 83,9 m² · RDC",Tassin le Bourg  Tassin-la-Demi-Lune (69160)
420000,Appartement à vendre - neuf,5 pièces · 4 chambres · 94 m² · dès le 31/03/2027,Bron (69500)
1495000,Maison à vendre - Première occupation,6 pièces · 5 chambres · 200 m² · 1 335 m² de terrain,Limonest (69760)
292458,Appartement à vendre - neuf,4 pièces · 81 m² · 4ème étage · dès le 31/03/2028,Rillieux-la-Pape (69140)
315200,Appartement à vendre - neuf,3 pièces · 70 m²,Moulin à Vent-Ernest Renan  Vénissieux (69200)
449000,Appartement à vendre - neuf,4 pièces · 74 m²,Centre Ville  Tassin-la-Demi-Lune (69160)
325000,Appartement à vendre,"3 pièces · 2 chambres · 64,2 m² · Étage 4/7",La Villette  Lyon 3ème arrondissement (69003)
488000,Appartement à vendre - neuf,3 pièces · 67 m²,Part-Dieu  Lyon 3ème arrondissement (69003)
321000,Appartement à vendre - neuf,3 pièces · 66 m² · RDC/3 · dès le 31/03/2028,Centre  Craponne (69290)
795000,Maison à vendre,6 pièces · 5 chambres · 170 m² · 900 m² de terrain,Thoiry (01710)
139000,Appartement à vendre,"1 pièce · 37,9 m² · RDC",Croix Luizet  Villeurbanne (69100)
385000,Appartement à vendre - neuf,4 pièces · 3 chambres · 78 m²,Francheville (69340)
430000,Appartement à vendre - neuf,4 pièces · 3 chambres · 86 m²,Lyon 9ème arrondissement (69009)
699016,Appartement à vendre - neuf,5 pièces · 92 m²,Saint Irénée  Lyon 5ème arrondissement (69005)
616748,Appartement à vendre - neuf,4 pièces · 79 m²,Saint Irénée  Lyon 5ème arrondissement (69005)
419600,Maison à vendre - neuf,"5 pièces · 93,5 m² · dès le 31/03/2028",Brindas (69126)
285000,Appartement à vendre - neuf,4 pièces · 85 m² · 2ème étage · dès le 31/03/2028,Vénissieux (69200)
1802000,Terrain avec maison neuve à vendre,6 pièces · 4 chambres · 250 m² · 3 000 m² de terrain,Limonest (69760)
775000,Appartement à vendre,"4 pièces · 3 chambres · 117,8 m² · Étage 3/3",Tassin le Bourg  Tassin-la-Demi-Lune (69160)
224000,Appartement à vendre - neuf,3 pièces · 60 m² · 1er étage · dès le 01/04/2028,Vaulx-en-Velin (69120)
399000,Appartement à vendre - neuf,4 pièces · 87 m² · RDC,Vénissieux (69200)
340000,Maison à vendre - neuf,"5 pièces · 3 chambres · 109,4 m² · dès le 31/12/2027",Chaponost (69630)
448000,Appartement à vendre,3 pièces · 2 chambres · 61 m² · Étage 4/4,Ouest  Ferney-Voltaire (01210)
890000,Appartement à vendre - neuf,"4 pièces · 3 chambres · 102,7 m² · 5ème étage",Guillotière  Lyon 7ème arrondissement (69007)
419000,Maison à vendre - neuf,"4 pièces · 86,1 m² · dès le 01/10/2028",Revaison  Saint-Priest (69800)
350000,Appartement à vendre - neuf,3 pièces · 2 chambres · 69 m² · 2ème étage,Grandes-Terres Revoison  Genas (69740)
430000,Appartement à vendre - neuf,"3 pièces · 2 chambres · 72,3 m² · 2ème étage",Saint Rambert  Lyon 9ème arrondissement (69009)
450000,Appartement à vendre - neuf,"4 pièces · 78,3 m²",Perrache  Lyon 2ème arrondissement (69002)
795000,Appartement à vendre - neuf,4 pièces · 96 m²,Francheville le Bas-Châter  Francheville (69340)
369000,Appartement à vendre - neuf,3 pièces · 62 m²,Mercières – Bruyères  Caluire-et-Cuire (69300)
130000,Appartement à vendre - neuf,2 pièces · 37 m² · Étage 1/4 · dès le 31/03/2028,Charréard  Vénissieux (69200)
1300000,Maison à vendre,8 pièces · 5 chambres · 228 m²,Croix Rousse Gros Caillou  Lyon 4ème arrondissement (69004)
1495000,Maison à vendre,6 pièces · 6 chambres · 250 m² · 833 m² de terrain,Centre Ville  Tassin-la-Demi-Lune (69160)
291200,Appartement à vendre,"3 pièces · 2 chambres · 65,8 m² · Étage 1/7",Saint Louis  Lyon 7ème arrondissement (69007)
122000,Appartement à vendre - neuf,"1 pièce · 24,7 m² · dès le 31/03/2028",Centre Ville  Saint-Priest (69800)
349000,Appartement à vendre - neuf,"5 pièces · 3 chambres · 106,3 m² · 4ème étage",Canal  Givors (69700)
420000,Maison à vendre,4 pièces · 3 chambres · 131 m² · 204 m² de terrain,Fareins (01480)
470000,Appartement à vendre - neuf,4 pièces · 3 chambres · 77 m² · dès le 30/09/2026,Part-Dieu  Lyon 3ème arrondissement (69003)
252000,Appartement à vendre - neuf,"3 pièces · 2 chambres · 54,2 m² · 1er étage",Plein Soleil-Zone Industrielle  Saint-Bonnet-de-Mure (69720)
188300,Appartement à vendre - neuf,3 pièces · 67 m²,Bron (69500)
215000,Appartement à vendre - neuf,3 pièces · 58 m²,Canal  Givors (69700)
330000,Appartement à vendre,2 pièces · 1 chambre · 52 m² · Étage 3/6,Terreaux  Lyon 1er arrondissement (69001)
256999,Appartement à vendre - neuf,3 pièces · 58 m²,Cornavent  Décines-Charpieu (69150)
337000,Appartement à vendre - neuf,4 pièces · 101 m² · 1er étage · dès le 31/12/2027,Geraniums-Champlantier-La Begude  Feyzin (69320)
490464,Appartement à vendre - neuf,3 pièces · 64 m²,Saint Irénée  Lyon 5ème arrondissement (69005)
899000,Appartement à vendre,"5 pièces · 4 chambres · 183,1 m² · Étage 2/4",Ainay  Lyon 2ème arrondissement (69002)
380000,Appartement à vendre - neuf,4 pièces · 1 chambre · 80 m² · 1er étage,Genas (69740)
950000,Maison à vendre,8 pièces · 6 chambres · 338 m² · 2 582 m² de terrain,Dommartin (69380)
575000,Maison à vendre,5 pièces · 4 chambres · 142 m² · 530 m² de terrain,Venieres  Irigny (69540)
236000,Appartement à vendre - neuf,3 pièces · 60 m² · 2ème étage · dès le 31/12/2028,Maubec (38300)
300000,Appartement à vendre,4 pièces · 3 chambres · 116 m² · Étage 2/9,Cusset  Villeurbanne (69100)
267000,Appartement à vendre - neuf,4 pièces · 79 m²,Ouest  Belleville-en-Beaujolais (69220)
370000,Appartement à vendre,4 pièces · 3 chambres · 107 m² · Étage 1/5,Sans Souci-Dauphiné  Lyon 3ème arrondissement (69003)
250000,Appartement à vendre - neuf,"3 pièces · 2 chambres · 60,3 m² · 4ème étage",Les Genêts-Le Vinatier-Le Lessivas  Bron (69500)
149000,Appartement à vendre - neuf,"2 pièces · 1 chambre · 39,3 m² · dès le 30/09/2027",Canal  Givors (69700)
778000,Villa à vendre,6 pièces · 4 chambres · 160 m² · 3 175 m² de terrain,Pommiers (69480)
299000,Appartement à vendre - neuf,"2 pièces · 1 chambre · 49,4 m² · dès le 31/12/2027",Girondins  Lyon 7ème arrondissement (69007)
735000,Maison à vendre,"9 pièces · 7 chambres · 154,2 m² · 154 m² de terrain",Gratte Ciel  Villeurbanne (69100)
329000,Duplex à vendre,"4 pièces · 3 chambres · 85,8 m² · Étage 1/2",Revaison  Saint-Priest (69800)
369000,Appartement à vendre - neuf,5 pièces · 107 m²,Le Mas  Vaulx-en-Velin (69120)
439000,Appartement à vendre - neuf,4 pièces · 86 m² · dès le 30/09/2026,Clément  Villeurbanne (69100)
365000,Appartement à vendre - neuf,3 pièces · 2 chambres · 64 m² · dès le 31/12/2026,Girondins  Lyon 7ème arrondissement (69007)
299000,Appartement à vendre - neuf,3 pièces · 64 m²,Simandres (69360)
199000,Maison à vendre,5 pièces · 3 chambres · 175 m² · 68 m² de terrain,Mercurey (71640)
439000,Appartement à vendre,4 pièces · 3 chambres · 101 m² · Étage 3/4,Montchat  Lyon 3ème arrondissement (69003)
225000,Appartement à vendre - neuf,4 pièces · 3 chambres · 89 m²,Rillieux-la-Pape (69140)
177300,Appartement à vendre - neuf,3 pièces · 2 chambres · 61 m²,Vénissieux (69200)
445000,Appartement à vendre - neuf,5 pièces · 96 m²,Azieu  Genas (69740)
1090000,Maison à vendre,10 pièces · 7 chambres · 277 m² · 890 m² de terrain,Le Bachut  Lyon 8ème arrondissement (69008)
253000,Appartement à vendre - neuf,"4 pièces · 83,9 m² · Étage 2/3 · dès le 31/12/2027",Saint-Georges-de-Reneins (69830)
505600,Maison à vendre - neuf,6 pièces · 125 m² · dès le 31/03/2028,Brindas (69126)
194400,Appartement à vendre - neuf,"2 pièces · 45,8 m² · Étage 1/4 · dès le 30/06/2026",Centre Ville  Saint-Fons (69190)
499000,Appartement à vendre - neuf,4 pièces · 81 m² · 5ème étage,Villeurbanne (69100)
1390000,Maison de plain-pied à vendre,"10 pièces · 4 chambres · 260,4 m² · 1 507 m² de terrain",Centre et Sud Est  Saint-Didier-au-Mont-d'Or (69370)
395000,Appartement à vendre,"3 pièces · 1 chambre · 74,1 m² · 1er étage",Tête d'Or  Lyon 6ème arrondissement (69006)
749000,Appartement à vendre,4 pièces · 3 chambres · 138 m² · Étage 4/4,Presqu'île - Centre ville - Cordeliers  Lyon 2ème arrondissement (69002)
250000,Villa à vendre - neuf,4 pièces · 3 chambres · 86 m² · dès le 30/09/2026,Saint-Clair-du-Rhône (38370)
835000,Appartement à vendre,"4 pièces · 3 chambres · 110,4 m² · 8ème étage",Confluence  Lyon 2ème arrondissement (69002)
890000,Maison à vendre,"12 pièces · 7 chambres · 347,8 m²",Chessy (69380)
259000,Appartement à vendre,"2 pièces · 1 chambre · 46,4 m² · RDC",Charlier  Écully (69130)
1190000,Appartement à vendre,"5 pièces · 3 chambres · 220,3 m² · 4ème étage",Foch  Lyon 6ème arrondissement (69006)
315000,Appartement à vendre,5 pièces · 4 chambres · 77 m² · Étage 1/6,Girondins  Lyon 7ème arrondissement (69007)
429000,Terrain avec maison neuve à vendre,3 pièces · 3 chambres · 110 m² · 661 m² de terrain,Francheville le Haut-Bruissin  Francheville (69340)
565000,Appartement à vendre - neuf,4 pièces · 80 m² · 2ème étage · dès le 30/06/2026,Tassin-la-Demi-Lune (69160)
517000,Appartement à vendre,4 pièces · 3 chambres · 101 m² · 3 étages,Centre  Écully (69130)
548000,Terrain avec maison neuve à vendre,4 pièces · 4 chambres · 130 m² · 750 m² de terrain,Chaponnay (69970)
530000,Appartement à vendre,4 pièces · 3 chambres · 80 m² · Étage 1/3,Lyon 3ème arrondissement (69003)
1250000,Maison à vendre,9 pièces · 5 chambres · 270 m²,Basses-Barolles  Saint-Genis-Laval (69230)
399000,Appartement à vendre - neuf,"4 pièces · 83,2 m² · 3ème étage · dès le 31/03/2028",Le Bourg  Fontaines-sur-Saône (69270)
770000,Appartement à vendre,6 pièces · 4 chambres · 122 m² · Étage 4/4,Centre Ville  Tassin-la-Demi-Lune (69160)
306000,Appartement à vendre - neuf,"3 pièces · 69,9 m² · Étage 2/3 · dès le 30/10/2026",Sud Est  Eybens (38320)
275000,Appartement à vendre,"2 pièces · 1 chambre · 52,1 m²",Centre Ville  Tassin-la-Demi-Lune (69160)
480000,Appartement à vendre,"4 pièces · 2 chambres · 89,1 m² · Étage 2/7",Monplaisir Lumière  Lyon 8ème arrondissement (69008)
159000,Appartement à vendre - neuf,"2 pièces · 1 chambre · 23,5 m² · 1er étage",Centre  Oullins-Pierre-Bénite (69600)
300000,Maison à vendre,5 pièces · 1 chambre · 270 m² · 265 m² de terrain,Genay (69730)
520000,Appartement à vendre - neuf,"4 pièces · 92,6 m² · 4ème étage · dès le 01/04/2027",Girondins  Lyon 7ème arrondissement (69007)
671000,Appartement à vendre - neuf,"4 pièces · 3 chambres · 83,7 m² · 12ème étage",Brotteaux  Lyon 6ème arrondissement (69006)
750000,Maison à vendre,8 pièces · 4 chambres · 300 m² · 2 129 m² de terrain,Villefranche-sur-Saône (69400)
136000,Appartement à vendre,"2 pièces · 1 chambre · 46,6 m² · Étage 2/4",Le Village  Vaulx-en-Velin (69120)
175000,Appartement à vendre - neuf,1 pièce · 29 m²,Centre  Craponne (69290)
339500,Appartement à vendre - neuf,4 pièces · 3 chambres · 77 m² · Étage 5/8,Cusset  Villeurbanne (69100)
349000,Appartement à vendre - neuf,"4 pièces · 3 chambres · 82,7 m² · RDC",Est  Craponne (69290)
293820,Appartement à vendre - neuf,"4 pièces · 3 chambres · 79,2 m² · dès le 31/03/2028",Gratte Ciel  Villeurbanne (69100)
290000,Villa à vendre - neuf,5 pièces · 4 chambres · 100 m² · dès le 30/09/2026,Saint-Clair-du-Rhône (38370)
399000,Appartement à vendre - neuf,3 pièces · 63 m²,Confluence  Lyon 2ème arrondissement (69002)
330000,Appartement à vendre - neuf,"4 pièces · 3 chambres · 84,4 m² · 4ème étage",Le Grand Vivier-Le Garet-Pontbichet-Troussier  Villefranche-sur-Saône (69400)
347000,Appartement à vendre - neuf,5 pièces · 107 m²,Crepieux  Rillieux-la-Pape (69140)
195000,Appartement à vendre - neuf,"3 pièces · 2 chambres · 63,5 m² · dès le 30/09/2027",Canal  Givors (69700)
187000,Appartement à vendre - neuf,2 pièces · 1 chambre · 40 m² · RDC,Chessy (69380)
364400,Appartement à vendre - neuf,3 pièces · 60 m²,Gratte Ciel  Villeurbanne (69100)
589000,Appartement à vendre - neuf,5 pièces · 107 m²,Gratte Ciel  Villeurbanne (69100)
325000,Appartement à vendre - neuf,3 pièces · 2 chambres · 69 m² · dès le 31/12/2026,Saint-Pierre-de-Chandieu (69780)
357821,Appartement à vendre - neuf,"5 pièces · 96,5 m² · 3ème étage · dès le 01/10/2026",Le Village  Vaulx-en-Velin (69120)
700000,Appartement à vendre - neuf,5 pièces · 112 m²,Cornavent  Décines-Charpieu (69150)
260500,Appartement à vendre - neuf,4 pièces · 72 m² · dès le 31/03/2028,La Pagère-Bron Église-Le Terraillon-Saint Jean  Bron (69500)
550000,Appartement à vendre - neuf,5 pièces · 95 m²,Centre Ville  Tassin-la-Demi-Lune (69160)
297000,Terrain avec maison neuve à vendre,1 pièce · 1 chambre · 116 m²,Brégnier-Cordon (01300)
419000,Appartement à vendre - neuf,"4 pièces · 3 chambres · 82,3 m² · dès le 30/06/2026",Moulin à Vent-Ernest Renan  Vénissieux (69200)
880000,Appartement à vendre - neuf,"5 pièces · 3 chambres · 126,8 m² · 2ème étage",Tassin le Bourg  Tassin-la-Demi-Lune (69160)
479000,Appartement à vendre - neuf,4 pièces · 89 m²,Moulin à Vent-Ernest Renan  Vénissieux (69200)
870000,Maison de plain-pied à vendre,6 pièces · 5 chambres · 183 m² · 780 m² de terrain,Montanay (69250)
249000,Appartement à vendre,"3 pièces · 2 chambres · 74,7 m² · Étage 2/2",Brignais (69530)
1065000,Maison à vendre,"7 pièces · 4 chambres · 172,6 m² · 1 915 m² de terrain",Limonest (69760)
366000,Appartement à vendre - neuf,3 pièces · 54 m² · RDC · dès le 30/06/2027,Caluire-et-Cuire (69300)
189000,Appartement à vendre,"1 pièce · 27,6 m² · Étage 1/4",Ainay  Lyon 2ème arrondissement (69002)
525000,Terrain avec maison neuve à vendre,5 pièces · 4 chambres · 120 m² · 610 m² de terrain,Grézieu-la-Varenne (69290)
380000,Maison à vendre,5 pièces · 4 chambres · 105 m² · 407 m² de terrain,Le-Trillet  Meyzieu (69330)
500000,Appartement à vendre - neuf,"4 pièces · 3 chambres · 83,2 m² · 1er étage",Laënnec  Lyon 8ème arrondissement (69008)
138000,Appartement à vendre - neuf,"2 pièces · 41,9 m² · 5 étages · dès le 01/01/2028",Canal  Givors (69700)
429000,Maison à vendre,4 pièces · 4 chambres · 112 m² · 538 m² de terrain,Valserhône (01200)
560000,Appartement à vendre - neuf,"5 pièces · 112,8 m² · 4ème étage · dès le 30/06/2028",Centre  Décines-Charpieu (69150)
445000,Appartement à vendre - neuf,"4 pièces · 75,5 m² · 1er étage · dès le 31/12/2027",Girondins  Lyon 7ème arrondissement (69007)
127000,Appartement à vendre - neuf,"2 pièces · 1 chambre · 44,5 m² · RDC",Saint-Fons (69190)
398000,Duplex à vendre - neuf,"4 pièces · 3 chambres · 89,7 m² · 1er étage",Marcilly-d'Azergues (69380)
830000,Maison à vendre,7 pièces · 5 chambres · 143 m² · 597 m² de terrain,Point du Jour  Lyon 5ème arrondissement (69005)
499000,Appartement à vendre,3 pièces · 2 chambres · 78 m² · Étage 10/11,Lyon 7ème arrondissement (69007)
625000,Appartement à vendre - neuf,5 pièces · 103 m²,Francheville le Bas-Châter  Francheville (69340)
309000,Appartement à vendre - neuf,2 pièces · 45 m²,Mercières – Bruyères  Caluire-et-Cuire (69300)
699000,Appartement à vendre - neuf,4 pièces · 89 m²,Centre et Sud Est  Saint-Didier-au-Mont-d'Or (69370)
304000,Appartement à vendre - neuf,4 pièces · 3 chambres · 85 m² · 3ème étage,Les Genêts-Le Vinatier-Le Lessivas  Bron (69500)
358340,Appartement à vendre - neuf,"5 pièces · 3 chambres · 94,1 m² · dès le 31/03/2028",Gratte Ciel  Villeurbanne (69100)
159000,Appartement à vendre - neuf,"3 pièces · 2 chambres · 63,6 m² · dès le 31/12/2027",Loire-sur-Rhône (69700)
258000,Appartement à vendre - neuf,"2 pièces · 1 chambre · 40,6 m² · 1er étage",Point du Jour  Lyon 5ème arrondissement (69005)
219000,Appartement à vendre - neuf,4 pièces · 82 m² · 3ème étage · dès le 31/12/2027,Centre Ville Est  Bourgoin-Jallieu (38300)
692783,Appartement à vendre - neuf,5 pièces · 127 m²,Le Bachut  Lyon 8ème arrondissement (69008)
190000,Appartement à vendre,"2 pièces · 1 chambre · 52,4 m² · Étage 5/5",Sathonay-Camp (69580)
349000,Appartement à vendre - neuf,3 pièces · 2 chambres · 60 m² · dès le 31/12/2027,Lyon 2ème arrondissement (69002)
251000,Appartement à vendre - neuf,2 pièces · 1 chambre · 42 m² · dès le 31/12/2027,Lyon 2ème arrondissement (69002)
322000,Appartement à vendre - neuf,"3 pièces · 2 chambres · 62,1 m² · 1er étage",Grandes-Terres Revoison  Genas (69740)
122000,Appartement à vendre - neuf,"1 pièce · 23,8 m² · RDC · dès le 31/12/2027",La Pagère-Bron Église-Le Terraillon-Saint Jean  Bron (69500)
193000,Appartement à vendre - neuf,2 pièces · 39 m²,Ternay (69360)
560000,Appartement à vendre - neuf,4 pièces · 93 m²,Tassin le Bourg  Tassin-la-Demi-Lune (69160)
1300000,Maison à vendre,"10 pièces · 7 chambres · 275,6 m² · 1 780 m² de terrain",Collonges-au-Mont-d'Or (69660)
250000,Maison à vendre - neuf,"3 pièces · 62,1 m² · dès le 31/12/2027",Saint-Georges-de-Reneins (69830)
276000,Appartement à vendre - neuf,4 pièces · 74 m² · 1er étage · dès le 01/04/2028,Vaulx-en-Velin (69120)
2150000,Maison à vendre,"10 pièces · 5 chambres · 354,3 m²",Brotteaux  Lyon 6ème arrondissement (69006)
200000,Maison à vendre,4 pièces · 2 chambres · 69 m² · 1 780 m² de terrain,Chesnes-Fallavier-Les Moines-Montjay  Saint-Quentin-Fallavier (38070)
495000,Appartement à vendre,5 pièces · 4 chambres · 149 m² · Étage 4/4,Lyon 3ème arrondissement (69003)
300000,Appartement à vendre,"3 pièces · 2 chambres · 73,1 m² · Étage 1/5",Sainte-Foy-lès-Lyon (69110)
550000,Maison à vendre,4 pièces · 3 chambres · 131 m² · 1 530 m² de terrain,Vaugneray (69670)
649000,Appartement à vendre,5 pièces · 4 chambres · 145 m² · Étage 11/12,Flammarion  Lyon 4ème arrondissement (69004)
279000,Appartement à vendre,4 pièces · 3 chambres · 66 m² · Étage 6/11,Gratte Ciel  Villeurbanne (69100)
202000,Appartement à vendre - neuf,"3 pièces · 2 chambres · 58,8 m² · 1er étage",Saint-Fons (69190)
349000,Appartement à vendre,4 pièces · 3 chambres · 87 m² · RDC/2,Ouest  Craponne (69290)
468000,Appartement à vendre,4 pièces · 3 chambres · 118 m² · Étage 1/5,Lyon 5ème arrondissement (69005)
410000,Duplex à vendre,5 pièces · 4 chambres · 195 m² · Étage 1/1,Villefranche-sur-Saône (69400)
310000,Appartement à vendre,"4 pièces · 3 chambres · 102,3 m² · 1er étage",Bord-de Osaone  Fontaines-sur-Saône (69270)
156000,Appartement à vendre,1 pièce · 38 m² · 5ème étage,Gratte Ciel  Villeurbanne (69100)
220000,Appartement à vendre,"2 pièces · 1 chambre · 43,6 m² · Étage 1/3",Charlier  Écully (69130)
210000,Appartement à vendre,3 pièces · 2 chambres · 50 m² · Étage 1/4,Saint Rambert  Lyon 9ème arrondissement (69009)
370000,Villa à vendre - neuf,"5 pièces · 4 chambres · 131,7 m² · dès le 30/06/2026",L'Isle-d'Abeau (38080)
218497,Appartement à vendre - neuf,"3 pièces · 2 chambres · 57,4 m² · dès le 31/03/2028",Centre Ville  Saint-Priest (69800)
336818,Appartement à vendre - neuf,5 pièces · 96 m² · 1er étage · dès le 31/03/2028,Rillieux-la-Pape (69140)
195000,Appartement à vendre,"4 pièces · 3 chambres · 81,1 m² · 4ème étage",Le Village  Vaulx-en-Velin (69120)
1030000,Maison à vendre,5 pièces · 4 chambres · 157 m² · 285 m² de terrain,Montchat  Lyon 3ème arrondissement (69003)
645500,Terrain avec maison neuve à vendre,3 pièces · 4 chambres · 130 m² · 800 m² de terrain,Zone Habitat Diffus  Chaponost (69630)
1490000,Maison à vendre,8 pièces · 3 chambres · 332 m² · 400 m² de terrain,Flammarion  Lyon 4ème arrondissement (69004)
310000,Appartement à vendre,"4 pièces · 3 chambres · 90,5 m² · 3ème étage",Cusset  Villeurbanne (69100)
233500,Appartement à vendre,"3 pièces · 2 chambres · 49,4 m² · Étage 6/8",Lyon 8ème arrondissement (69008)
349000,Appartement à vendre,"3 pièces · 2 chambres · 59,6 m² · Étage 1/5",Croix Rousse Centre  Lyon 4ème arrondissement (69004)
177200,Appartement à vendre - neuf,"1 pièce · 34,3 m² · 4 étages · dès le 30/06/2026",Centre Ville  Saint-Fons (69190)
235000,Appartement à vendre - neuf,4 pièces · 76 m²,Givors (69700)
241500,Appartement à vendre - neuf,4 pièces · 86 m²,Bron (69500)
223000,Appartement à vendre - neuf,"4 pièces · 75,8 m² · 1er étage · dès le 31/12/2028",Comboire  Échirolles (38130)
185000,Maison à vendre,3 pièces · 2 chambres · 74 m² · 1 162 m² de terrain,Saint-Cyr-sur-le-Rhône (69560)
720000,Maison à vendre,7 pièces · 5 chambres · 200 m² · 1 060 m² de terrain,Limonest (69760)
439000,Maison à vendre,6 pièces · 3 chambres · 123 m² · 700 m² de terrain,Belleroche  Villefranche-sur-Saône (69400)
469000,Maison à vendre,4 pièces · 3 chambres · 99 m² · 597 m² de terrain,Azieu  Genas (69740)
127000,Appartement à vendre - neuf,"2 pièces · 1 chambre · 82,7 m² · dès le 30/06/2027",Le Grand Vivier-Le Garet-Pontbichet-Troussier  Villefranche-sur-Saône (69400)
269000,Appartement à vendre - neuf,3 pièces · 2 chambres · 69 m² · dès le 30/06/2026,Perica-La Roue  Rillieux-la-Pape (69140)
174000,Appartement à vendre - neuf,1 pièce · 18 m² · RDC · dès le 31/03/2027,Croix Rousse Centre  Lyon 4ème arrondissement (69004)
265000,Appartement à vendre - neuf,"2 pièces · 1 chambre · 46,2 m² · 1er étage",Zone Habitat Diffus  Chaponost (69630)
210000,Appartement à vendre - neuf,"1 pièce · 38,1 m² · 4ème étage · dès le 01/10/2028",Perrache  Lyon 2ème arrondissement (69002)
705000,Appartement à vendre - neuf,"5 pièces · 120,8 m² · 5ème étage · dès le 01/04/2027",Girondins  Lyon 7ème arrondissement (69007)
275000,Appartement à vendre - neuf,"3 pièces · 59,8 m² · 2ème étage · dès le 31/12/2027",Centre  Mions (69780)
852500,Appartement à vendre - neuf,"5 pièces · 3 chambres · 94,3 m² · 8ème étage",Brotteaux  Lyon 6ème arrondissement (69006)
215000,Appartement à vendre - neuf,"4 pièces · 3 chambres · 84,8 m² · 1er étage",Loire-sur-Rhône (69700)
169000,Appartement à vendre - neuf,"3 pièces · 61,6 m² · 6ème étage · dès le 31/12/2028",Comboire  Échirolles (38130)
140000,Appartement à vendre,"2 pièces · 1 chambre · 36,8 m² · Étage 4/5",Gratte Ciel  Villeurbanne (69100)
1860000,Maison à vendre,10 pièces · 5 chambres · 284 m² · 3 300 m² de terrain,Ouest  Saint-Cyr-au-Mont-d'Or (69450)
320000,Appartement à vendre,2 pièces · 64 m² · 2ème étage,Croix Rousse Gros Caillou  Lyon 4ème arrondissement (69004)
115000,Appartement à vendre,"1 pièce · 33,8 m² · RDC",La Duchère  Lyon 9ème arrondissement (69009)
236500,Appartement à vendre - neuf,"2 pièces · 43,7 m²",Est  Craponne (69290)
444000,Appartement à vendre - neuf,4 pièces · 82 m²,Ouest  Craponne (69290)
948000,Appartement à vendre - neuf,5 pièces · 114 m²,Centre et Sud Est  Saint-Didier-au-Mont-d'Or (69370)
185000,Appartement à vendre,5 pièces · 4 chambres · 106 m² · Étage 3/3,Feyzin (69320)
227500,Appartement à vendre - neuf,"2 pièces · 45,2 m² · 2ème étage · dès le 01/10/2028",Perrache  Lyon 2ème arrondissement (69002)
290000,Appartement à vendre - neuf,"2 pièces · 40,3 m²",Centre et Sud Est  Saint-Didier-au-Mont-d'Or (69370)
229500,Appartement à vendre - Première occupation,"3 pièces · 2 chambres · 63,3 m² · 4ème étage",Pasteur – Margnolles  Caluire-et-Cuire (69300)
139000,Appartement à vendre,"2 pièces · 1 chambre · 46,6 m² · 2ème étage",Le Village  Vaulx-en-Velin (69120)
370000,Appartement à vendre,"4 pièces · 3 chambres · 136,4 m² · Étage 1/3",Antiquaire - Notre Dame   Grenoble (38000)
2100000,Maison à vendre,11 pièces · 8 chambres · 287 m² · 1 210 m² de terrain,Centre  Caluire-et-Cuire (69300)
208000,Appartement à vendre,"4 pièces · 3 chambres · 65,4 m² · Étage 3/7",Le Bachut  Lyon 8ème arrondissement (69008)
298000,Appartement à vendre,2 pièces · 1 chambre · 52 m² · RDC,Flammarion  Lyon 4ème arrondissement (69004)
760000,Maison à vendre,7 pièces · 5 chambres · 176 m² · 1 000 m² de terrain,Lentilly (69210)
312100,Maison à vendre - neuf,"4 pièces · 86,6 m² · dès le 31/12/2027",Saint-Georges-de-Reneins (69830)
639000,Appartement à vendre - neuf,5 pièces · 1 chambre · 146 m² · RDC,Genas (69740)
760000,Maison à vendre,6 pièces · 4 chambres · 160 m² · 990 m² de terrain,Centre Ville  Tassin-la-Demi-Lune (69160)
790000,Maison à vendre,8 pièces · 5 chambres · 205 m² · 862 m² de terrain,Ouest  Dardilly (69570)
895000,Maison à vendre,6 pièces · 4 chambres · 244 m² · 850 m² de terrain,Lissieu (69380)
585000,Maison à vendre,"6 pièces · 4 chambres · 226,9 m² · 652 m² de terrain",Sainte-Consorce (69280)
