prix,type_de_bien,details,zone
649900,Appartement à vendre - neuf,4 pièces · 3 chambres · 93 m² · dès le 30/09/2027,Est  Saint-Cyr-au-Mont-d'Or (69450)
620000,Appartement à vendre,5 pièces · 3 chambres · 117 m² · Étage 3/5,Guillotière  Lyon 7ème arrondissement (69007)
253000,Appartement à vendre - neuf,3 pièces · 2 chambres · 62 m² · dès le 31/03/2027,Bron (69500)
630000,Appartement à vendre - neuf,4 pièces · 3 chambres · 83 m² · dès le 31/03/2027,Guillotière  Lyon 7ème arrondissement (69007)
322000,Appartement à vendre - neuf,3 pièces · 58 m² · 4 étages,Croix Luizet  Villeurbanne (69100)
399000,Appartement à vendre,4 pièces · 3 chambres · 105 m² · Étage 1/6,Flammarion  Lyon 4ème arrondissement (69004)
213900,Appartement à vendre - neuf,"3 pièces · 61,3 m² · Étage 1/5 · dès le 31/03/2027",Les Grolières-La Grappinière  Vaulx-en-Velin (69120)
289300,Appartement à vendre - neuf,"4 pièces · 74,8 m² · 5 étages · dès le 30/06/2027",Moulin à Vent-Ernest Renan  Vénissieux (69200)
539000,Appartement à vendre - neuf,"5 pièces · 116,1 m² · Étage 7/7",Croix Luizet  Villeurbanne (69100)
330000,Appartement à vendre,"3 pièces · 2 chambres · 62,8 m² · Étage 1/3",Ouest  Gex (01170)
254000,Appartement à vendre - neuf,4 pièces · 78 m² · 1er étage,Canal  Givors (69700)
540000,Appartement à vendre,3 pièces · 2 chambres · 86 m² · 2ème étage,Foch  Lyon 6ème arrondissement (69006)
272000,Appartement à vendre - neuf,"3 pièces · 2 chambres · 62,2 m² · 4ème étage",La Pagère-Bron Église-Le Terraillon-Saint Jean  Bron (69500)
326000,Appartement à vendre - neuf,3 pièces · 63 m² · 1er étage · dès le 30/09/2028,Gratte Ciel  Villeurbanne (69100)
375000,Appartement à vendre - neuf,3 pièces · 69 m²,Girondins  Lyon 7ème arrondissement (69007)
221500,Appartement à vendre - neuf,3 pièces · 2 chambres · 57 m² · dès le 31/12/2026,Centre  Meyzieu (69330)
425000,Appartement à vendre,6 pièces · 4 chambres · 110 m² · Étage 3/8,Clément  Villeurbanne (69100)
175000,Appartement à vendre,2 pièces · 37 m² · Étage 4/5 · disponible dès maintenant,Lyon 2ème arrondissement (69002)
236000,Appartement à vendre - neuf,"3 pièces · 60,5 m² · 1er étage · dès le 31/12/2026",Leclerc  Rillieux-la-Pape (69140)
880000,Maison à vendre,10 pièces · 8 chambres · 241 m² · 4 000 m² de terrain,Pollionnay (69290)
1290000,Maison à vendre,7 pièces · 5 chambres · 208 m² · 1 398 m² de terrain,Saint-Didier-au-Mont-d'Or (69370)
